epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1708,1.16854,3.39368,0.40023,1.06294,1.24332,0.59841,0.49625,0.45616,0.26296,0.34136,0.2539,0.12437,0.03898,1.50308,4.27532,0.47041,3.35888,1.59527,0.000659176,0.000659176,0.000659176
2,168.139,1.41637,4.41033,0.41694,1.32124,1.40719,0.65913,0.44566,0.50518,0.29457,0.47908,0.24529,0.1876,0.06756,1.55391,4.27476,0.48804,3.00529,1.64337,0.00106333,0.00106333,0.00106333
3,273.863,1.45176,4.53933,0.40899,1.36677,1.43339,0.74082,0.49063,0.57224,0.36313,0.57495,0.25609,0.22976,0.08441,1.45136,4.15608,0.3758,2.04947,1.48074,0.00120348,0.00120348,0.00120348
4,371.738,1.35364,4.20679,0.38769,1.25127,1.37254,0.72744,0.57428,0.64667,0.42988,0.62986,0.33229,0.32373,0.13247,1.31423,3.54411,0.34191,1.24712,1.35991,0.000812,0.000812,0.000812
5,469.206,1.22619,3.70068,0.35825,1.08952,1.29037,0.78572,0.62898,0.71479,0.49431,0.6788,0.39073,0.37254,0.17584,1.16437,2.9842,0.30438,1.02042,1.25467,0.000416,0.000416,0.000416
