epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2127.77,1.08432,3.15607,0.31949,0.92781,1.19863,0.77239,0.6318,0.7136,0.4978,0.72247,0.38745,0.39505,0.18167,1.19294,2.73783,0.28311,0.99816,1.27204,0.0009704,0.0009704,0.0009704
28,2203.22,1.06837,3.18836,0.31349,0.9078,1.19193,0.79357,0.63335,0.72415,0.50248,0.71979,0.41249,0.42085,0.19986,1.16569,2.66063,0.3087,0.94428,1.27725,0.0009308,0.0009308,0.0009308
29,2284.2,1.05969,3.13415,0.30626,0.89355,1.19726,0.79319,0.62885,0.72296,0.50941,0.72474,0.40706,0.42066,0.20086,1.12623,2.65739,0.29255,0.94426,1.23282,0.0008912,0.0008912,0.0008912
30,2365.05,1.01348,3.01451,0.30456,0.869,1.1656,0.80857,0.61859,0.71864,0.50755,0.72242,0.40602,0.42083,0.20267,1.13856,2.66769,0.31049,0.94928,1.25217,0.0008516,0.0008516,0.0008516
31,2440.49,1.04864,2.94242,0.2923,0.87653,1.1812,0.79815,0.63277,0.72685,0.50905,0.74244,0.4262,0.44111,0.21878,1.15016,2.57337,0.29488,0.93102,1.25038,0.000812,0.000812,0.000812
32,2521.26,1.02054,2.84944,0.29223,0.86571,1.16402,0.78539,0.63488,0.72648,0.51223,0.73841,0.41737,0.42994,0.21349,1.11712,2.59745,0.28619,0.94774,1.23668,0.0007724,0.0007724,0.0007724
33,2596.85,1.00525,2.99002,0.30773,0.85852,1.16436,0.8181,0.6204,0.72481,0.51586,0.74624,0.42064,0.43602,0.21804,1.132,2.5608,0.2808,0.93562,1.23891,0.0007328,0.0007328,0.0007328
34,2677.63,0.99323,2.86239,0.29735,0.82227,1.15047,0.83741,0.61545,0.72794,0.52064,0.72834,0.42728,0.4441,0.22886,1.12055,2.48799,0.29612,0.93539,1.24011,0.0006932,0.0006932,0.0006932
35,2758.36,0.97074,2.75092,0.29009,0.80432,1.13687,0.7954,0.6373,0.73137,0.51973,0.70699,0.42305,0.43659,0.2268,1.11752,2.48542,0.29415,0.90954,1.23049,0.0006536,0.0006536,0.0006536
36,2833.7,0.96432,2.79656,0.28652,0.8044,1.14209,0.81486,0.63398,0.73537,0.52701,0.74071,0.42818,0.43993,0.22508,1.10295,2.48979,0.29419,0.88146,1.23074,0.000614,0.000614,0.000614
37,2914.5,0.96381,2.68142,0.28419,0.80161,1.13247,0.81501,0.63458,0.73892,0.52102,0.77518,0.42999,0.45604,0.22776,1.11376,2.4221,0.27172,0.88028,1.22993,0.0005744,0.0005744,0.0005744
38,2989.97,0.94558,2.65858,0.27672,0.7716,1.13211,0.82222,0.63498,0.73962,0.5316,0.76239,0.43422,0.45616,0.24319,1.09088,2.41759,0.28703,0.88359,1.21543,0.0005348,0.0005348,0.0005348
39,3070.76,0.91935,2.60767,0.28173,0.74584,1.11286,0.78597,0.6545,0.73872,0.52956,0.73371,0.44206,0.45784,0.24197,1.09111,2.39835,0.29506,0.88495,1.21885,0.0004952,0.0004952,0.0004952
40,3146.31,0.90935,2.55938,0.26928,0.73959,1.10325,0.80404,0.64605,0.74144,0.52869,0.72736,0.42908,0.44331,0.24185,1.10707,2.39138,0.28743,0.88485,1.22882,0.0004556,0.0004556,0.0004556
41,3252.67,0.85753,2.05583,0.24311,0.69106,1.07161,0.81293,0.64122,0.73341,0.52649,0.77046,0.4312,0.45781,0.25583,1.11083,2.36171,0.29269,0.89877,1.23809,0.000416,0.000416,0.000416
42,3333.37,0.84562,1.96345,0.2367,0.65879,1.06216,0.82407,0.64273,0.74374,0.53317,0.76824,0.44011,0.45928,0.26161,1.09902,2.33718,0.26276,0.88743,1.22569,0.0003764,0.0003764,0.0003764
43,3413.84,0.82455,1.93578,0.23122,0.63436,1.04794,0.8045,0.6494,0.73756,0.536,0.7678,0.44056,0.46475,0.25955,1.08236,2.31609,0.26617,0.87169,1.22339,0.0003368,0.0003368,0.0003368
44,3494.54,0.81466,1.90177,0.23063,0.62627,1.04346,0.81831,0.64243,0.73728,0.53131,0.74912,0.44478,0.4622,0.25888,1.08531,2.30812,0.26242,0.87505,1.21464,0.0002972,0.0002972,0.0002972
45,3569.75,0.81003,1.84697,0.22899,0.61752,1.03926,0.83265,0.64363,0.74402,0.53497,0.77355,0.44659,0.47018,0.27118,1.08067,2.2784,0.26072,0.8632,1.2207,0.0002576,0.0002576,0.0002576
46,3650.46,0.79114,1.83018,0.22635,0.60082,1.03172,0.82782,0.64635,0.74911,0.54573,0.77305,0.45202,0.47131,0.27794,1.06553,2.24414,0.26334,0.84189,1.2123,0.000218,0.000218,0.000218
47,3731.2,0.77444,1.7235,0.2207,0.57696,1.02767,0.81924,0.65238,0.74556,0.54291,0.769,0.44719,0.47333,0.28122,1.06973,2.22506,0.27022,0.86469,1.21177,0.0001784,0.0001784,0.0001784
48,3811.83,0.75372,1.75088,0.22267,0.56925,1.01631,0.8236,0.65329,0.7464,0.54529,0.75489,0.44297,0.46915,0.28158,1.06265,2.20483,0.27008,0.84443,1.21657,0.0001388,0.0001388,0.0001388
49,3892.47,0.75944,1.73321,0.21972,0.57669,1.02417,0.82472,0.65118,0.7494,0.54668,0.77006,0.44357,0.4709,0.28351,1.05722,2.19004,0.26538,0.83792,1.21244,9.92e-05,9.92e-05,9.92e-05
50,3973.01,0.74312,1.59217,0.21285,0.56086,1.01138,0.83164,0.65329,0.75064,0.54939,0.77683,0.44568,0.47557,0.28894,1.05881,2.18097,0.26608,0.83755,1.21256,5.96e-05,5.96e-05,5.96e-05
